id,original_ARES_pred,lociparse_ARES_pred,original_LOCIPARSE_pred_lDDT,lociparse_LOCIPARSE_pred_lDDT,lociparse_trained_RNAQuANet_pred,original_trained_RNAQuANet_less_features_pred,lociparse_trained_RNAQuANet_contrastive_pred,lociparse_trained_RNAQuANet_contrastive_learned_less_features_pred,lociparse_trained_RNAQuANet_less_features_pred,RMSD,length,Lab,PZ,original_LOCIPARSE_pred_lDDT_rev,lociparse_LOCIPARSE_pred_lDDT_rev
PZ14Bound_BujnickiPreExp_3.pdb,7.7596517,2.9893734,0.75,0.72,4.099136352539063,14.860318183898926,2.971879243850708,3.310338497161865,1.6704269647598269,6.768523216247559,61,BujnickiPreExp,14Bound,0.25,0.28
PZ14Bound_BujnickiPreExp_4.pdb,7.1500411,4.9147139,0.7,0.7,2.9253411293029785,9.531930923461914,1.7823991775512695,2.3302855491638184,1.352566480636597,5.8826422691345215,61,BujnickiPreExp,14Bound,0.3,0.3
PZ14Bound_BujnickiPreExp_5.pdb,7.3068514,5.1116323,0.67,0.71,7.38226318359375,14.05305290222168,7.342147350311279,4.028903961181641,4.610085487365723,7.511612415313721,61,BujnickiPreExp,14Bound,0.3299999999999999,0.29
PZ14Bound_BujnickiPreExp_6.pdb,7.8489771,2.560595,0.74,0.66,2.830127477645874,12.564067840576172,2.2637667655944824,2.985027551651001,1.9913896322250368,10.901140213012695,61,BujnickiPreExp,14Bound,0.26,0.3399999999999999
PZ14Bound_BujnickiPreExp_7.pdb,9.8875694,6.7598991,0.59,0.56,3.6300976276397705,12.93580150604248,2.59040641784668,4.126834869384766,2.779141664505005,15.461557388305664,61,BujnickiPreExp,14Bound,0.41,0.4399999999999999
PZ14Bound_ChenPostExp_1.pdb,8.8138504,2.3857419,0.71,0.68,3.132086992263794,8.805285453796387,2.8188235759735107,2.0376696586608887,1.7351993322372437,17.306591033935547,61,ChenPostExp,14Bound,0.29,0.3199999999999999
PZ14Bound_ChenPostExp_10.pdb,8.8682327,2.8570325,0.75,0.66,4.503514289855957,4.169170379638672,2.932943105697632,1.808423638343811,2.2705020904541016,16.66355323791504,61,ChenPostExp,14Bound,0.25,0.3399999999999999
PZ14Bound_ChenPostExp_2.pdb,9.8010635,3.4941087,0.68,0.64,3.149486303329468,11.205107688903809,2.785249710083008,2.571919202804565,2.4345717430114746,7.609399795532227,61,ChenPostExp,14Bound,0.3199999999999999,0.36
PZ14Bound_ChenPostExp_3.pdb,9.0126495,2.5414932,0.76,0.7,4.608715057373047,11.130105018615724,3.70647406578064,1.9034103155136108,1.8370741605758667,15.773964881896973,61,ChenPostExp,14Bound,0.24,0.3
PZ14Bound_ChenPostExp_4.pdb,9.8521118,2.7834411,0.68,0.67,3.1852452754974365,12.253669738769531,2.725167751312256,2.2772607803344727,1.834196209907532,15.156277656555176,61,ChenPostExp,14Bound,0.3199999999999999,0.3299999999999999
PZ14Bound_ChenPostExp_5.pdb,9.1845455,2.5777228,0.69,0.62,2.9173924922943115,10.545388221740724,2.446981906890869,2.100168466567993,2.245534896850586,8.141751289367676,61,ChenPostExp,14Bound,0.31,0.38
PZ14Bound_ChenPostExp_6.pdb,9.3254185,3.7379045,0.7,0.66,4.09688663482666,13.774362564086914,3.883829355239868,2.1543164253234863,2.205548048019409,7.588776588439941,61,ChenPostExp,14Bound,0.3,0.3399999999999999
PZ14Bound_ChenPostExp_7.pdb,9.255722,2.9988911,0.68,0.62,4.786018371582031,11.776927947998049,3.951110363006592,3.165458917617798,2.3871209621429443,11.02000904083252,61,ChenPostExp,14Bound,0.3199999999999999,0.38
PZ14Bound_ChenPostExp_8.pdb,9.2426224,3.0234246,0.75,0.72,3.13987684249878,11.084433555603027,2.50419282913208,2.049133539199829,2.477308511734009,14.791617393493652,61,ChenPostExp,14Bound,0.25,0.28
PZ14Bound_ChenPostExp_9.pdb,9.0754719,3.3693538,0.68,0.66,2.8839662075042725,11.56433391571045,2.8654725551605225,2.301023483276367,2.033956527709961,10.910038948059082,61,ChenPostExp,14Bound,0.3199999999999999,0.3399999999999999
PZ14Bound_DasPostExp_1.pdb,6.92834,2.5994589,0.72,0.72,2.478774070739746,8.009366035461426,1.5418970584869385,1.5912361145019531,1.1351197957992554,13.966452598571776,61,DasPostExp,14Bound,0.28,0.28
PZ14Bound_DasPostExp_10.pdb,6.3097105,2.4666727,0.74,0.75,2.2513420581817627,8.466105461120605,1.717888355255127,1.6708804368972778,1.2545998096466064,9.70107650756836,61,DasPostExp,14Bound,0.26,0.25
PZ14Bound_DasPostExp_2.pdb,6.9591765,1.9844427,0.73,0.74,2.61498498916626,7.832761764526367,1.9673635959625244,1.6452335119247437,1.1084667444229126,11.642547607421877,61,DasPostExp,14Bound,0.27,0.26
PZ14Bound_DasPostExp_3.pdb,6.8770099,2.375247,0.69,0.75,2.315791845321656,8.322317123413086,1.3887372016906738,1.4540482759475708,1.0789058208465576,14.01930332183838,61,DasPostExp,14Bound,0.31,0.25
PZ14Bound_DasPostExp_4.pdb,7.0248342,2.0577919,0.72,0.71,2.341867685317993,9.030644416809082,1.2464900016784668,1.6636919975280762,1.1441086530685425,12.811768531799316,61,DasPostExp,14Bound,0.28,0.29
PZ14Bound_DasPostExp_5.pdb,6.5654197,3.7320538,0.74,0.72,2.413518190383911,6.388312339782715,2.210395336151123,1.827917456626892,1.252092957496643,11.723739624023438,61,DasPostExp,14Bound,0.26,0.28
PZ14Bound_DasPostExp_6.pdb,7.169229,1.8214309,0.74,0.76,2.2009027004241943,8.266499519348145,1.6251959800720217,1.541906237602234,1.2273626327514648,12.364463806152344,61,DasPostExp,14Bound,0.26,0.24
PZ14Bound_DasPostExp_7.pdb,6.6847358,2.6976051,0.75,0.71,2.3330447673797607,7.27314567565918,1.9362812042236328,1.9481006860733032,1.1404979228973389,11.4954252243042,61,DasPostExp,14Bound,0.25,0.29
PZ14Bound_DasPostExp_8.pdb,6.4556136,3.381907,0.72,0.71,2.900183916091919,8.804615020751953,3.279250144958496,1.9434581995010376,2.463911771774292,12.286561965942385,61,DasPostExp,14Bound,0.28,0.29
PZ14Bound_DasPostExp_9.pdb,7.1068568,2.9805255,0.75,0.73,2.8713395595550537,6.466982841491699,2.148644208908081,1.5871891975402832,1.1840497255325315,15.674518585205078,61,DasPostExp,14Bound,0.25,0.27
PZ14Bound_DasPreExp_1.pdb,7.169229,1.821424,0.74,0.76,2.200902938842773,8.266500473022461,1.6251957416534424,1.5419065952301023,1.2273626327514648,12.364463806152344,61,DasPreExp,14Bound,0.26,0.24
PZ14Bound_DasPreExp_10.pdb,7.1068568,2.9805303,0.75,0.73,2.8713395595550537,6.466982841491699,2.148644208908081,1.5871891975402832,1.1840497255325315,15.674518585205078,61,DasPreExp,14Bound,0.25,0.27
PZ14Bound_DasPreExp_2.pdb,6.6847363,2.697608,0.75,0.71,2.3330447673797607,7.27314567565918,1.9362809658050537,1.9481006860733032,1.1404979228973389,11.4954252243042,61,DasPreExp,14Bound,0.25,0.29
PZ14Bound_DasPreExp_3.pdb,6.4556136,3.3819015,0.72,0.71,2.90018367767334,8.804615020751953,3.279250144958496,1.943458080291748,2.463911533355713,12.286561965942385,61,DasPreExp,14Bound,0.28,0.29
PZ14Bound_DasPreExp_4.pdb,7.6023207,3.3458021,0.71,0.71,2.289679288864136,9.033835411071776,1.52471923828125,1.8493585586547847,0.9193741083145142,16.907899856567383,61,DasPreExp,14Bound,0.29,0.29
PZ14Bound_DasPreExp_5.pdb,6.3097105,2.4666708,0.74,0.75,2.2513420581817627,8.466105461120605,1.717888593673706,1.6708801984786987,1.254599690437317,9.70107650756836,61,DasPreExp,14Bound,0.26,0.25
PZ14Bound_DasPreExp_6.pdb,6.4190269,1.9990106,0.76,0.76,2.7622640132904053,8.283292770385742,2.79736590385437,2.002737283706665,1.4941397905349731,7.237245559692383,61,DasPreExp,14Bound,0.24,0.24
PZ14Bound_DasPreExp_7.pdb,7.2659049,3.4339404,0.73,0.71,2.2749946117401123,8.103593826293945,1.4948186874389648,1.5649282932281494,1.1549584865570068,11.596969604492188,61,DasPreExp,14Bound,0.27,0.29
PZ14Bound_DasPreExp_8.pdb,6.6080065,2.9085228,0.75,0.73,2.243386030197144,7.405845642089844,1.6715025901794434,1.766651272773743,1.2480003833770752,8.070685386657715,61,DasPreExp,14Bound,0.25,0.27
PZ14Bound_DasPreExp_9.pdb,6.5960479,3.1628881,0.74,0.73,2.3482859134674072,4.430865287780762,2.4337103366851807,1.6583619117736816,1.1156028509140017,7.672757625579834,61,DasPreExp,14Bound,0.26,0.27
PZ14Bound_DingPostExp_1.pdb,8.5813541,4.2365232,0.56,0.56,4.061432838439941,9.074061393737791,6.538578510284424,4.069969177246094,3.682332754135132,11.15142822265625,61,DingPostExp,14Bound,0.4399999999999999,0.4399999999999999
PZ14Bound_DingPostExp_10.pdb,9.2851772,6.7525239,0.55,0.58,4.139022350311279,6.1693525314331055,5.186915874481201,3.481820821762085,1.6532174348831177,15.379060745239258,61,DingPostExp,14Bound,0.4499999999999999,0.42
PZ14Bound_DingPostExp_2.pdb,8.4055882,12.069828,0.58,0.6,5.622873783111572,7.249875068664551,8.279979705810547,3.841233730316162,2.537424087524414,11.90137767791748,61,DingPostExp,14Bound,0.42,0.4
PZ14Bound_DingPostExp_3.pdb,8.3391609,5.8875222,0.59,0.59,5.0731730461120605,6.799790382385254,11.385029792785645,4.001840591430664,2.6192736625671387,14.255142211914062,61,DingPostExp,14Bound,0.41,0.41
PZ14Bound_DingPostExp_4.pdb,9.333971,6.3251352,0.51,0.54,4.471942901611328,7.428158760070801,4.705399036407471,2.989919662475586,1.6498831510543823,15.910593032836914,61,DingPostExp,14Bound,0.49,0.4599999999999999
PZ14Bound_DingPostExp_5.pdb,8.4517937,6.6992989,0.56,0.56,5.919235229492188,10.175930976867676,7.176692485809326,3.947237014770508,3.679852247238159,12.903717041015623,61,DingPostExp,14Bound,0.4399999999999999,0.4399999999999999
PZ14Bound_DingPostExp_6.pdb,7.6107125,8.3216972,0.59,0.59,7.044404983520508,4.9302659034729,13.05008316040039,3.5620007514953613,2.416544914245605,17.324047088623047,61,DingPostExp,14Bound,0.41,0.41
PZ14Bound_DingPostExp_7.pdb,8.4637451,3.8113124,0.55,0.58,5.15058708190918,7.560903549194336,7.182112693786621,3.813899278640747,7.812480926513672,15.382087707519531,61,DingPostExp,14Bound,0.4499999999999999,0.42
PZ14Bound_DingPostExp_8.pdb,8.7416706,8.7227888,0.56,0.59,7.577510833740234,6.272618293762207,8.428999900817871,4.004910945892334,4.516354560852051,11.76435375213623,61,DingPostExp,14Bound,0.4399999999999999,0.41
PZ14Bound_DingPostExp_9.pdb,8.9379807,7.6359887,0.58,0.58,5.493729591369629,10.245047569274902,8.28591251373291,4.480968952178955,3.518629789352417,12.631680488586426,61,DingPostExp,14Bound,0.42,0.42
PZ14Bound_DingPreExp_1.pdb,8.623703,10.6904268,0.56,0.58,5.152080535888672,7.427170753479004,8.016268730163574,4.419901847839356,2.7917473316192627,13.881556510925291,61,DingPreExp,14Bound,0.4399999999999999,0.42
PZ14Bound_DingPreExp_2.pdb,9.1010075,8.4037409,0.57,0.54,5.2833099365234375,8.921854019165039,8.310626029968262,5.403234481811523,5.257267951965332,12.894441604614258,61,DingPreExp,14Bound,0.43,0.4599999999999999
PZ14Bound_DingPreExp_3.pdb,8.1605473,7.4984837,0.57,0.59,5.147312641143799,9.101214408874512,7.474407196044922,3.589429378509521,0.994767427444458,12.97274112701416,61,DingPreExp,14Bound,0.43,0.41
PZ14Bound_DingPreExp_4.pdb,9.0359802,7.9486494,0.54,0.57,4.484502792358398,7.580774307250977,9.497794151306152,4.288665771484375,2.4471471309661865,14.61937427520752,61,DingPreExp,14Bound,0.4599999999999999,0.43
PZ14Bound_DingPreExp_5.pdb,8.7565212,12.4142084,0.58,0.59,7.425564765930176,7.770206451416016,11.9485445022583,3.752197742462158,9.618826866149902,16.67852020263672,61,DingPreExp,14Bound,0.42,0.41
PZ14Bound_DingPreExp_6.pdb,8.929615,5.6432576,0.57,0.6,3.0411481857299805,10.18106174468994,6.892873287200928,3.984656810760498,1.4488433599472046,15.382000923156738,61,DingPreExp,14Bound,0.43,0.4
PZ14Bound_DingPreExp_7.pdb,8.8048992,6.6857181,0.57,0.56,4.486020565032959,6.487495422363281,8.745471000671387,3.5093295574188232,2.121166706085205,14.4705228805542,61,DingPreExp,14Bound,0.43,0.4399999999999999
PZ14Bound_DingPreExp_8.pdb,9.194067,9.8199434,0.56,0.57,6.88849687576294,9.43188190460205,7.55266809463501,3.4773645401000977,5.373161315917969,15.56153964996338,61,DingPreExp,14Bound,0.4399999999999999,0.43
PZ15_3dRNAAS2_1.pdb,12.0520725,6.8161259,0.56,0.55,3.772227287292481,13.58533763885498,3.17476224899292,8.685214042663574,6.226861953735352,24.32772827148437,48,3dRNAAS2,15,0.4399999999999999,0.4499999999999999
PZ15_3dRNAAS2_10.pdb,12.0661888,7.0409346,0.57,0.55,3.730681896209717,13.271036148071287,3.19583511352539,8.181526184082031,8.049720764160156,24.32945251464844,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_3dRNAAS2_2.pdb,12.0899391,6.4164624,0.57,0.55,3.5994436740875244,13.419331550598145,3.080307483673096,8.936619758605957,6.528532981872559,24.317182540893555,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_3dRNAAS2_3.pdb,12.0208588,6.7218595,0.57,0.55,2.985446214675904,12.756758689880373,2.88466477394104,9.52961254119873,6.17044734954834,24.321033477783203,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_3dRNAAS2_4.pdb,12.0332108,6.953588,0.57,0.55,3.3324620723724365,13.488241195678713,3.324883222579956,9.210750579833984,7.555506706237793,24.329492568969727,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_3dRNAAS2_5.pdb,12.0116234,6.6108699,0.57,0.55,2.9530725479125977,12.963412284851074,2.974743604660034,8.93939208984375,7.062932968139648,24.322673797607425,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_3dRNAAS2_6.pdb,12.0707512,6.7220497,0.57,0.55,3.020467519760132,13.152892112731934,2.9280941486358643,9.44114875793457,7.422736644744873,24.30968475341797,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_3dRNAAS2_7.pdb,12.0460186,6.8862548,0.57,0.55,3.416945219039917,13.571965217590332,3.3167202472686768,8.915451049804688,7.349217414855957,24.323108673095703,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_3dRNAAS2_8.pdb,12.0563202,6.4876819,0.57,0.55,3.829751968383789,12.987772941589355,3.226502180099488,8.8538236618042,7.372393608093262,24.320945739746094,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_3dRNAAS2_9.pdb,12.0634842,6.4360271,0.57,0.55,3.733372449874878,14.255995750427246,3.4270973205566406,9.173209190368652,7.207749843597412,24.32443618774414,48,3dRNAAS2,15,0.43,0.4499999999999999
PZ15_Adamiak_1.pdb,10.6204281,7.5942817,0.61,0.65,3.5048232078552246,12.611445426940918,3.5951521396636963,4.253253936767578,3.797752141952514,7.056541919708252,48,Adamiak,15,0.39,0.35
PZ15_Adamiak_10.pdb,10.5541,5.2996564,0.69,0.68,3.6634795665740967,14.795050621032717,3.2339582443237305,2.887566089630127,4.234040260314941,4.750906467437744,48,Adamiak,15,0.31,0.3199999999999999
PZ15_Adamiak_2.pdb,9.8360596,4.8319564,0.72,0.66,3.288501024246216,13.637093544006348,3.7134101390838623,3.489760637283325,3.389778852462769,5.32515811920166,48,Adamiak,15,0.28,0.3399999999999999
PZ15_Adamiak_3.pdb,9.7933006,4.6629491,0.72,0.66,3.671830654144287,14.365870475769045,4.026949405670166,2.928071975708008,3.2442877292633057,5.497637748718262,48,Adamiak,15,0.28,0.3399999999999999
PZ15_Adamiak_4.pdb,9.940094,6.1640463,0.67,0.6,3.642677068710327,14.917360305786133,3.149478912353516,2.850320339202881,4.048696994781494,6.336349010467529,48,Adamiak,15,0.3299999999999999,0.4
PZ15_Adamiak_5.pdb,10.1992455,5.793849,0.66,0.58,3.292026996612549,14.858697891235352,3.014707326889038,3.6428494453430176,3.543165445327759,6.09538459777832,48,Adamiak,15,0.3399999999999999,0.42
PZ15_Adamiak_6.pdb,10.1006508,6.8947992,0.66,0.61,3.528311252593994,14.028763771057127,2.860039472579956,2.3487296104431152,3.5692298412323,6.315060615539551,48,Adamiak,15,0.3399999999999999,0.39
PZ15_Adamiak_7.pdb,10.2103901,6.3936939,0.68,0.61,3.691243171691896,14.891890525817873,3.1161396503448486,2.548278331756592,4.089645862579346,5.77125358581543,48,Adamiak,15,0.3199999999999999,0.39
PZ15_Adamiak_8.pdb,10.4972439,5.8176246,0.68,0.68,3.5986485481262207,15.029088020324709,3.5286800861358643,2.245772123336792,3.875204801559448,4.589986801147461,48,Adamiak,15,0.3199999999999999,0.3199999999999999
PZ15_Adamiak_9.pdb,10.9755249,7.0213337,0.63,0.65,2.7377185821533203,14.88071632385254,2.692546129226685,4.609580039978027,3.986466646194458,5.999592781066895,48,Adamiak,15,0.37,0.35
PZ15_Chen_1.pdb,10.3592453,3.1142745,0.69,0.69,3.0443274974823,11.70307731628418,2.528212070465088,2.958217144012451,2.664528608322144,7.61296272277832,48,Chen,15,0.31,0.31
PZ15_Chen_10.pdb,11.4925995,3.8147349,0.65,0.57,4.540205001831055,9.709128379821776,3.867211103439331,1.6346728801727295,2.195737838745117,8.536164283752441,48,Chen,15,0.35,0.43
PZ15_Chen_2.pdb,9.9819565,4.8981252,0.68,0.64,3.8900434970855713,11.156001091003418,3.808103322982788,1.625112771987915,3.4259610176086426,15.642531394958496,48,Chen,15,0.3199999999999999,0.36
PZ15_Chen_3.pdb,10.0333595,4.2325077,0.75,0.67,3.498849630355835,11.753350257873535,3.1922383308410645,2.878557205200196,2.385704278945923,5.592462539672852,48,Chen,15,0.25,0.3299999999999999
PZ15_Chen_4.pdb,11.1549416,3.870512,0.73,0.63,3.099224328994751,10.803464889526367,2.833004713058472,3.1849443912506104,2.8474199771881104,8.934033393859863,48,Chen,15,0.27,0.37
PZ15_Chen_5.pdb,10.5267963,3.860743,0.74,0.69,3.59285569190979,9.7752103805542,3.4236931800842285,2.630544424057007,2.494040012359619,16.552080154418945,48,Chen,15,0.26,0.31
PZ15_Chen_6.pdb,11.8130493,2.8058677,0.66,0.6,3.724803686141968,11.15625286102295,3.301898717880249,3.4164485931396484,2.7547600269317627,5.698193550109863,48,Chen,15,0.3399999999999999,0.4
PZ15_Chen_7.pdb,11.7279835,3.2552013,0.64,0.57,3.978466749191284,4.26157283782959,4.04987096786499,4.990583419799805,2.889734029769897,10.414176940917969,48,Chen,15,0.36,0.43
PZ15_Chen_8.pdb,11.1468868,5.6889567,0.63,0.61,3.6286354064941406,11.039447784423828,3.9611661434173584,3.136624574661255,2.698763608932495,11.010689735412598,48,Chen,15,0.37,0.39
PZ15_Chen_9.pdb,11.8052101,6.6416426,0.62,0.59,3.603878974914551,11.557165145874023,3.1867029666900635,5.372949600219727,2.656256437301636,11.552974700927734,48,Chen,15,0.38,0.41
PZ15_RNAComposerAS1_1.pdb,9.8360577,4.8319483,0.72,0.66,3.2885005474090576,13.637091636657717,3.7134101390838623,3.489760160446167,3.3897793292999268,5.32515811920166,48,RNAComposerAS1,15,0.28,0.3399999999999999
PZ15_RNAComposerAS1_2.pdb,9.7932987,4.6629505,0.72,0.66,3.671830892562866,14.365870475769045,4.026949405670166,2.928071975708008,3.2442877292633057,5.497637748718262,48,RNAComposerAS1,15,0.28,0.3399999999999999
PZ15_RNAComposerAS2_1.pdb,9.940094,6.1640477,0.67,0.6,3.642677545547485,14.917360305786133,3.1494786739349365,2.850320339202881,4.048696517944336,6.336349010467529,48,RNAComposerAS2,15,0.3299999999999999,0.4
PZ15_RNAComposerAS2_2.pdb,10.1992455,5.7938452,0.66,0.58,3.2920267581939697,14.858697891235352,3.014707326889038,3.6428494453430176,3.543165445327759,6.09538459777832,48,RNAComposerAS2,15,0.3399999999999999,0.42
PZ15_SimRNAAS1_1.pdb,10.5309505,3.7991278,0.65,0.62,8.400166511535645,5.645111083984375,5.115742206573486,9.42519474029541,5.303873538970947,5.827950954437256,48,SimRNAAS1,15,0.35,0.38
PZ15_SimRNAAS1_10.pdb,10.6003513,5.0462656,0.57,0.52,6.339332103729248,6.309164047241211,12.135168075561523,11.751084327697754,6.118588447570801,19.13600730895996,48,SimRNAAS1,15,0.43,0.48
PZ15_SimRNAAS1_2.pdb,9.1604843,5.1666875,0.6,0.65,8.21329402923584,5.737818717956543,7.498049736022949,8.379654884338379,9.792988777160645,17.136486053466797,48,SimRNAAS1,15,0.4,0.35
PZ15_SimRNAAS1_3.pdb,9.8895092,5.0218067,0.59,0.57,11.983556747436523,6.428876876831055,13.16196060180664,11.530302047729492,12.332201957702637,17.39368438720703,48,SimRNAAS1,15,0.41,0.43
PZ15_SimRNAAS1_4.pdb,9.1452656,4.8280334,0.59,0.58,5.309940338134766,5.651922225952148,5.434145927429199,5.177184104919434,6.179255485534668,12.67548942565918,48,SimRNAAS1,15,0.41,0.42
PZ15_SimRNAAS1_5.pdb,9.0541248,4.6749401,0.62,0.62,7.18939208984375,6.667978286743164,6.982293605804443,6.253260612487793,10.21545124053955,20.64813232421875,48,SimRNAAS1,15,0.38,0.38
PZ15_SimRNAAS1_6.pdb,10.3498211,7.8060651,0.63,0.6,8.934967994689941,8.728130340576172,12.230502128601074,10.694781303405762,7.441274166107178,23.09422874450684,48,SimRNAAS1,15,0.37,0.4
PZ15_SimRNAAS1_7.pdb,10.1806259,6.3149457,0.6,0.55,9.197858810424805,5.768256187438965,7.750817775726318,7.537420272827148,9.454744338989258,18.46792793273925,48,SimRNAAS1,15,0.4,0.4499999999999999
PZ15_SimRNAAS1_8.pdb,10.0559235,5.97469,0.63,0.61,8.47177791595459,7.05846118927002,7.681522846221924,5.66544246673584,7.217037677764893,21.67169761657715,48,SimRNAAS1,15,0.37,0.39
PZ15_SimRNAAS1_9.pdb,10.2528229,5.9466438,0.58,0.54,12.823495864868164,5.174558639526367,10.35818576812744,5.675874710083008,10.88783359527588,16.415266036987305,48,SimRNAAS1,15,0.42,0.4599999999999999
PZ15_SimRNAAS2_1.pdb,9.3867149,4.8093686,0.64,0.61,9.540550231933594,6.360395431518555,12.96711254119873,9.057746887207031,8.326661109924316,13.28192138671875,48,SimRNAAS2,15,0.36,0.39
PZ15_SimRNAAS2_10.pdb,10.122242,4.2532687,0.66,0.58,7.036989688873291,4.824904441833496,10.299973487854004,8.77488899230957,6.588768482208252,20.18474197387696,48,SimRNAAS2,15,0.3399999999999999,0.42
PZ15_SimRNAAS2_2.pdb,10.1336994,7.8347917,0.62,0.57,11.642974853515623,7.225905418395996,13.037381172180176,12.17727756500244,12.433839797973633,18.4487533569336,48,SimRNAAS2,15,0.38,0.43
PZ15_SimRNAAS2_3.pdb,9.4974842,6.5575514,0.57,0.56,7.894036293029785,4.589386940002441,5.682555675506592,5.385677337646484,5.425401210784912,20.336782455444336,48,SimRNAAS2,15,0.43,0.4399999999999999
PZ15_SimRNAAS2_4.pdb,9.9959888,5.5888596,0.64,0.65,13.040985107421877,4.849833488464356,11.054049491882324,14.22703456878662,7.301808834075928,9.2633056640625,48,SimRNAAS2,15,0.36,0.35
PZ15_SimRNAAS2_5.pdb,9.903307,7.638042,0.56,0.54,10.78561305999756,5.061640739440918,10.428250312805176,13.110223770141602,12.904431343078612,18.601884841918945,48,SimRNAAS2,15,0.4399999999999999,0.4599999999999999
PZ15_SimRNAAS2_6.pdb,9.7590561,5.1179018,0.59,0.54,10.559710502624512,4.481894016265869,13.128457069396973,6.782209396362305,6.963919639587402,20.75016021728516,48,SimRNAAS2,15,0.41,0.4599999999999999
PZ15_SimRNAAS2_7.pdb,9.9414864,4.5135865,0.65,0.66,7.770321846008301,5.564681053161621,9.12837028503418,7.69586181640625,6.691723823547363,9.042304039001465,48,SimRNAAS2,15,0.35,0.3399999999999999
PZ15_SimRNAAS2_8.pdb,10.0249348,9.4421215,0.58,0.57,6.558093070983887,5.110023498535156,4.931908130645752,6.039334297180176,8.595760345458984,22.13114356994629,48,SimRNAAS2,15,0.42,0.43
PZ15_SimRNAAS2_9.pdb,10.1306686,4.4147329,0.63,0.57,5.64892053604126,4.775525093078613,4.923484325408936,6.041783332824707,5.186835289001465,11.818296432495115,48,SimRNAAS2,15,0.37,0.43
PZ18_3dRNA_1.pdb,6.6938114,2.2079813,0.74,0.7,2.4419467449188232,6.726280212402344,2.205185890197754,2.791136741638184,2.096548080444336,18.81416702270508,71,3dRNA,18,0.26,0.3
