Lab,Num,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,TM-score,best sol.,Detail
Dfold,3,19.824,55.139,0.360,0.154,-,0.453,125.280,3.76e-01,29.91,0.1650,1,->
Chen,4,8.196,12.850,0.638,0.881,0.000,0.613,0.000,6.18e-12,30.24,0.2530,1,->
SimRNA,4,10.456,15.788,0.662,0.889,-,0.620,166.950,1.69e-08,28.09,0.2940,1,->
Szachniuk,4,11.764,20.587,0.571,0.788,-,0.515,5.610,8.20e-07,27.75,0.2300,1,->
YangServer,4,12.453,48.729,0.256,-,0.000,0.324,68.390,5.15e-06,60.24,0.1340,1,->
SoutheRNA,4,12.577,20.403,0.616,0.964,0.000,0.531,187.990,7.06e-06,29.63,0.2120,1,->
DasFARFAR2Apo,4,13.110,22.399,0.585,0.881,0.000,0.541,3.360,2.61e-05,27.64,0.1660,1,->
DasFARFAR2NNApo,4,13.230,21.332,0.620,0.901,0.000,0.561,2.240,3.46e-05,27.89,0.2330,1,->
Dfold,4,13.387,36.293,0.369,0.000,0.000,0.521,178.850,4.97e-05,29.33,0.2520,1,->
DasARESApo,4,13.774,22.748,0.606,0.881,-,0.553,8.970,1.18e-04,27.70,0.1670,1,->
RNAComposer,4,13.885,26.697,0.520,0.815,-,0.436,20.180,1.50e-04,29.19,0.1690,1,->
Ding,4,14.092,24.780,0.569,0.815,0.000,0.508,15.130,2.33e-04,33.83,0.1600,1,->
Xiao,4,14.324,24.203,0.592,0.740,-,0.587,1.680,3.74e-04,32.13,0.2110,1,->
Bujnicki,4,15.807,23.407,0.675,0.859,0.000,0.655,1.680,5.42e-03,27.90,0.2070,1,->
YangServer,5,8.732,14.550,0.600,0.836,-,0.559,22.420,4.64e-11,28.71,0.2470,1,->
RNAComposer,5,10.792,19.706,0.548,0.788,0.000,0.501,14.010,4.81e-08,32.92,0.2980,1,->
SimRNA,5,11.512,18.358,0.627,0.931,-,0.553,166.570,4.03e-07,28.35,0.1540,1,->
DasARESApo,5,11.633,18.171,0.640,0.923,0.000,0.593,2.240,5.68e-07,27.21,0.1930,1,->
Xiao,5,11.826,20.567,0.575,0.629,0.000,0.610,17.380,9.71e-07,33.63,0.2190,1,->
DasFARFAR2NNApo,5,12.943,20.545,0.630,0.923,-,0.566,3.920,1.75e-05,30.32,0.1940,1,->
Szachniuk,5,14.276,23.941,0.596,0.881,-,0.523,9.530,3.39e-04,30.67,0.1780,1,->
DasFARFAR2Apo,5,14.305,23.418,0.611,0.850,-,0.556,5.040,3.60e-04,25.84,0.1850,1,->
Chen,5,14.422,26.249,0.549,0.881,0.000,0.488,3.930,4.55e-04,32.45,0.2270,1,->
Bujnicki,5,16.766,28.674,0.585,0.874,0.000,0.521,0.000,2.20e-02,28.15,0.2130,1,->
SoutheRNA,5,17.980,48.338,0.372,0.072,0.000,0.518,144.700,9.01e-02,27.88,0.1870,1,->
Dfold,5,21.296,59.236,0.360,0.000,-,0.512,150.140,6.92e-01,30.30,0.1910,1,->
Ding,5,23.044,44.908,0.513,0.614,-,0.508,17.370,9.30e-01,35.10,0.1770,1,->
Chen,6,8.371,13.761,0.608,0.881,0.000,0.559,0.560,1.20e-11,30.83,0.2730,1,->
Ding,6,12.306,23.088,0.533,0.815,-,0.433,11.770,3.52e-06,36.62,0.1610,1,->
Chen,7,13.971,22.749,0.614,0.881,0.000,0.566,1.680,1.80e-04,31.61,0.2040,1,->
Chen,8,8.927,14.431,0.619,0.881,0.000,0.568,1.120,9.46e-11,30.06,0.3170,1,->
Chen,9,8.239,13.729,0.600,0.881,0.000,0.568,0.560,7.30e-12,29.97,0.3150,1,->
Chen,10,9.324,16.386,0.569,0.881,0.000,0.516,0.000,3.90e-10,29.02,0.2780,1,->
